Sks Parashar,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/sks-parashar.jpg,https://twitter.com/sksparashar1 https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//www.facebook.com/sujaykumarsingh.parashar,
Sohini Sarkar,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2020/05/Sohini-Photo.jpg,,
Soumen Dhara,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2024/02/sumandhara.jpg,https://in.linkedin.com/in/soumen-dhara,
Soumyaranjan Mohapatra,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2024/02/spumya.jpg,"https://www.linkedin.com/in/dr-soumyaranjan-mohapatra-8b9a0a82/ https://twitter.com/Soumyaranj88181 http://""https://www.facebook.com/soumyaranjan. mohapatra.338""",
Srikanta Behera,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2023/12/Srikanta.jpg,,
Srikumar Acharya,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Dr.-Srikumar-Acharya-shree-acharya.jpg,https://www.linkedin.com/in/srikumar-acharya-735b6117/ https://twitter.com/SrikumarAcharya https://www.facebook.com/srikumar.kgp,
Subhadarshan Sahoo,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/09/Subhadarshan-Sahoo.jpg,https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//emathexpert.com/ https://www.linkedin.com/in/dr-subhadarshan-sahoo-75318a90/ https://twitter.com/Dr_subhadarshan https://www.facebook.com/subhadarshan.sahoo.165,
Subhasis Samanta,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2024/02/subhasis.jpg,https://www.linkedin.com/in/subhasis-samanta-0bb9a8269/?originalSubdomain=in,
Sudipta K. Ghosh,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2022/06/Sudipta.jpg,,
Suman Sarkar,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2023/12/Suman.jpg,,
Supriya Roy,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Supriya-Roy.jpg,https://twitter.com/Supriya_phy123 https://www.facebook.com/supriyor1,
Sutanu Mangal,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/suanu.jpeg,https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//www.sutanu.home.blog https://twitter.com/sutanu_mangal https://www.facebook.com/sutanu.mangal.50,
Suvasis Nayak,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/suvasis-scaled.jpg,https://twitter.com/SuvasisNayak https://www.facebook.com/profile.php?id=100035722623536,
Swetapadma Praharaj,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Swetapadma-Praharaj.png,https:\/\/ksas.kiit.ac.in//ksas.kiit.ac.in//twitter.com/sweta0377 https://www.facebook.com/swetapadma.praharaj,
Tapan Kumar Bastia,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/tapan-bastia-1.jpg,https://twitter.com/dr_bastia,
Tapas Ranjan Sahoo,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2018/10/Tapas-Ranjan-Sahoo.jpg,https://tapasranjansahoo.wixsite.com/info https://www.linkedin.com/in/tapas-ranjan-sahoo-456291119/ https://twitter.com/DrTapasRanjanS1 https://www.facebook.com/tapas.sahoo.9843499,
Utkal Keshari Dutta,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2022/03/utkal.jpg,https://twitter.com/utkalkdutta https://www.facebook.com/utkal.dutta01,
Vijil Kumar,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2023/12/Dr-Vijil.jpg,,
Vishal Pradhan,ksas,https://ksas.kiit.ac.in/wp-content/uploads/2023/12/Vishal.jpg,,
